Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
85000,1.3992431,9.999914e-05,0.0,-0.028524203,0.0046693576,0.053521533,0.0021766718,0.022990163,0.0029932267,0.027326833,0.10474637,0.03789508,0.9723733,0.0,-0.07408745835545184,0.023983178632701503,0.1988486292402755,-0.07408746020826985,398.65263157894736
86000,1.3987962,9.999914e-05,0.0,-0.009564126,0.0040744366,0.052875243,0.0021398275,0.025957128,0.0029020063,0.027178168,0.11010164,0.03897419,0.9709677,0.0,-0.010674175714251073,0.022062255222998508,0.1960906102175019,-0.010674175780638567,366.7927927927928
87000,1.3976582,9.999913e-05,0.0,-0.022912724,0.004936749,0.047120888,0.0023733901,0.022842785,0.002946527,0.027568918,0.10013771,0.0369605,0.9739524,0.0,-0.032435709455697154,0.02293252967537777,0.1573296899458306,-0.03243571046242157,379.9504950495049
88000,1.3967702,9.9999124e-05,0.0,0.0033775321,0.005660677,0.04730369,0.0019457946,0.023589827,0.003066922,0.028804,0.11295671,0.04174591,0.9708878,0.0,0.15261499616720936,0.023047218345825307,0.19984253817824407,0.15261499709869353,380.42727272727274
89001,1.3959749,9.9999124e-05,0.0,0.03674343,0.0060586357,0.05196069,0.0019509593,0.021435125,0.003008821,0.029975254,0.115016975,0.041507464,0.96963274,0.0,0.19262323903035794,0.023111033333024306,0.17798350218601255,0.1926232412790511,366.93859649122805
90000,1.3952816,9.999911e-05,0.0,0.07478073,0.0064128772,0.052898396,0.0023422355,0.025851598,0.0029936298,0.030140731,0.11979653,0.044038802,0.96960664,0.0,0.2655372221424504,0.021300332727992942,0.18435859345027458,0.26553722302454047,348.1759259259259
91000,1.3947195,9.99991e-05,0.0,0.06613183,0.0036907636,0.06000248,0.001786251,0.022075182,0.002955611,0.03206164,0.114542484,0.041124452,0.96995145,0.0,0.25030478920832777,0.02045586467855693,0.19318722356258577,0.25030478798552197,341.0267857142857
92000,1.394125,9.99991e-05,0.0,0.07387318,0.0030993382,0.05944381,0.0028416621,0.02358498,0.00306192,0.033676643,0.1250163,0.043587092,0.9665458,0.0,0.14029979419432492,0.019931249075569212,0.17868630400725233,0.1402997929245197,321.088
93000,1.3936974,9.999907e-05,0.0,0.060923435,0.0028139628,0.05603084,0.0019430653,0.023360103,0.002996259,0.03385694,0.114335574,0.040125374,0.9686155,0.0,0.254815802923484,0.021513790887246583,0.18693878914086315,0.25481580461608294,350.6896551724138
94000,1.3928652,9.9999044e-05,0.0,0.06682222,0.0036271436,0.055990946,0.002871017,0.02455609,0.0030833122,0.033147346,0.122194305,0.04319002,0.96688503,0.0,0.14997984081555446,0.020160016723220115,0.17814022558462894,0.1499798379920863,325.3391304347826
95000,1.3921913,9.9999044e-05,0.0,0.048895925,0.0050147,0.051927857,0.0022059195,0.023202863,0.0030969835,0.03148446,0.108164206,0.037604112,0.970995,0.0,0.17566860044557278,0.022160684842231642,0.1772020184161652,0.17566859593042913,347.89565217391305
