Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
28000,1.4012445,9.9999976e-05,0.0,-0.25518724,0.008042526,0.11789409,0.0017974192,0.024175884,0.0039855056,0.034682203,0.2162267,0.082249366,0.93165183,-0.8750048249772059,0.030978926977695664,0.4202954753992098,-0.8750048246873465,366.25
29000,1.4009732,9.9999976e-05,0.0,-0.26781434,0.007833226,0.11623883,0.0016854758,0.023251966,0.0039982246,0.033673488,0.21097994,0.081666246,0.9349386,-0.8999549358939096,0.033132987149050074,0.3789074177846506,-0.8999549384941005,395.6875
30000,1.4007467,9.9999976e-05,0.0,-0.24748692,0.007376399,0.10750452,0.001724248,0.02128044,0.0037722327,0.03299152,0.19480938,0.075906366,0.9403558,-0.8437643304671761,0.03393577352168601,0.4313053033111262,-0.8437643327382168,416.8125
31000,1.4006867,9.9999976e-05,0.0,-0.25059596,0.007924023,0.10467907,0.0021094428,0.024652027,0.003987167,0.034080897,0.20167786,0.07921812,0.9397347,-0.8806006510837794,0.03022250727111175,0.4080830783719682,-0.8806006536411393,384.16037735849056
32001,1.400797,9.999998e-05,0.0,-0.23577721,0.007840772,0.10490913,0.0021633685,0.024504367,0.004100805,0.034144133,0.19501284,0.076799914,0.9420887,-0.8928257430537058,0.030445667937350086,0.35015913714909336,-0.8928257448683631,355.9252336448598
33000,1.4006974,9.9999976e-05,0.0,-0.25489405,0.008086974,0.09624672,0.0020771464,0.023276294,0.0041341023,0.033925246,0.18685077,0.073467836,0.9446791,-0.8791371107561017,0.03174451385052422,0.33695416755371105,-0.8791371075625771,379.4766355140187
34000,1.4007372,9.9999976e-05,0.0,-0.2885766,0.008907477,0.089997895,0.0018495428,0.024370313,0.0043159164,0.033644244,0.17858694,0.06957959,0.9476901,-0.8858896913606158,0.03429368927673851,0.34458944841005884,-0.8858896917302177,400.14814814814815
35000,1.4009091,9.9999976e-05,0.0,-0.25931883,0.008777898,0.0868733,0.001561161,0.021697164,0.00427346,0.031816244,0.16780914,0.06552831,0.95120215,-0.8682093731402228,0.03183146482853454,0.31645823400943063,-0.8682093734176105,359.3592233009709
36000,1.4009784,9.9999976e-05,0.0,-0.2708615,0.009286943,0.08982126,0.0017163873,0.021471139,0.0044317744,0.032538183,0.1671849,0.0664039,0.95321006,-0.9096320504361798,0.033728518786623134,0.31598705514828274,-0.9096320503090946,381.7378640776699
37000,1.4005916,9.9999976e-05,0.0,-0.28693843,0.009494702,0.08929245,0.0017908268,0.02257246,0.004605798,0.034082044,0.16190463,0.06378924,0.9548904,-0.9049285289152436,0.03463300363882235,0.34825523449010665,-0.9049285294017639,376.36036036036035
38000,1.3998684,9.9999976e-05,0.0,-0.27991098,0.009224257,0.08318403,0.0012311997,0.021056818,0.004633843,0.03207216,0.15146643,0.0600668,0.95766306,-0.9080053563400171,0.036540152448527874,0.28106042230524414,-0.9080053569739039,384.7281553398058
39000,1.3995247,9.9999976e-05,0.0,-0.24845907,0.009254087,0.08050593,0.0010639679,0.021894932,0.004454846,0.031344566,0.14131209,0.056252174,0.9605236,-0.8786866729395055,0.036182591935199605,0.278221763865195,-0.878686671799255,381.32608695652175
40000,1.3995684,9.9999976e-05,0.0,-0.23793633,0.009251967,0.078427814,0.0011458348,0.023757175,0.0044395598,0.031044714,0.14382218,0.0580507,0.9606638,-0.852994029160023,0.038504068516371975,0.3135048584922021,-0.8529940300277118,426.39130434782606
41000,1.3991606,9.9999976e-05,0.0,-0.2306909,0.00936821,0.07560493,0.0010466668,0.021057831,0.004367219,0.031682033,0.13356085,0.05417071,0.9637525,-0.8237373706750033,0.039834836801945016,0.29460765774776637,-0.8237373710055954,440.20212765957444
42001,1.3990147,9.999998e-05,0.0,-0.24822542,0.009232764,0.073011875,0.0011755587,0.02379302,0.0043909154,0.030968426,0.12468988,0.04940382,0.96502066,-0.9008510297822296,0.03623016872281571,0.27868942730524393,-0.9008510292054343,409.7888888888889
